id,MOID_AU,DeltaTheta_deg,DeltaMag,SNR,streak_len,seeing_FWHM,debris_like,orbital_term,tail_term,phot_term,R_real,PLEC,PLPC
CAND_019,3.373,0.13,0.66,9.1,7.8,2.1,0,0.00021971861741132257,0.012952265917570155,0.6622833928076022,0.06769934076644629,1,1
CAND_021,1.044,-4.33,0.23,17.2,10.9,2.47,0,0.0022945792829387945,0.43278706652435484,0.22924082170883744,0.06803845224967027,1,1
CAND_003,4.882,-4.86,0.2,9.2,7.1,2.53,0,0.0001049110945833989,0.4864567043580587,0.2000422534626924,0.06873382465774183,1,1
CAND_004,4.399,5.82,0.11,12.4,7.6,2.62,0,0.00012921893029968926,0.5820756310336904,0.1089008888512566,0.06920102713273446,1,1
CAND_002,4.358,-6.42,0.09,9.5,11.2,2.19,0,0.00013164288470058575,0.64220413200665,0.0860042736179175,0.07292615487021722,1,1
CAND_015,3.721,-0.82,1.25,12.9,10.3,1.74,0,0.00018052280504010545,0.0822410283815435,1.0,0.10836852108218645,1,1
CAND_016,3.418,-0.78,0.0,10.3,6.6,3.47,0,0.0002140257542597878,0.07802106250201356,0.0,0.007973326853609186,1,0
CAND_008,3.764,0.01,0.18,12.9,6.0,2.31,0,0.0001765011556634551,0.0005012516320936456,0.180501343184507,0.018241460406190832,1,0
CAND_012,2.364,1.29,0.07,12.7,8.5,2.58,0,0.00044735577434575963,0.1294123710780283,0.06515470601189248,0.01981459232846869,1,0
CAND_013,3.525,-2.88,0.01,12.5,7.8,2.8,0,0.00020124895836771912,0.2876314625156969,0.007167207001594053,0.02964086611842327,1,0
CAND_023,1.481,1.93,0.12,17.9,8.8,3.14,0,0.001139316174987817,0.1932761408038572,0.12199268571876863,0.032438335592252836,1,0
CAND_006,4.082,-3.67,0.0,10.5,8.6,3.03,1,0.0001500244096043489,0.36682824434023603,0.0,0.036802843961707084,0,1
CAND_020,2.794,-1.09,0.32,8.4,6.3,2.48,1,0.0003202928507513169,0.10894508334923873,0.31998707834865714,0.04314945045039064,0,1
CAND_022,2.908,-1.24,0.38,15.8,6.0,3.26,0,0.000295579100596979,0.12438342721357354,0.3829654089447627,0.05097134689631121,0,1
CAND_018,1.801,-3.87,0.14,9.6,6.1,3.13,1,0.0007703751304591967,0.38685581816337133,0.1400767828850423,0.05330956020920872,0,1
CAND_001,1.026,4.64,0.22,11.8,8.6,2.06,1,0.0023732387962580584,0.4641146351630919,0.2214641781636082,0.07045647236967646,0,1
CAND_024,2.318,-5.63,0.25,11.8,12.2,3.62,0,0.00046523763134915494,0.5633814461419161,0.24981801043720625,0.08169213576299156,0,1
CAND_014,2.257,-2.58,0.64,12.2,3.4,3.29,0,0.0004909566532834536,0.25756183123074966,0.6438831592885602,0.09053726437455775,0,1
CAND_009,3.959,-8.15,0.38,6.5,14.9,2.47,0,0.00015949925904943426,0.8150086802211174,0.37793129504259526,0.11942159693361083,0,1
CAND_005,1.063,8.46,0.82,11.3,2.2,2.89,1,0.0022114292797305287,0.8456983391524606,0.8206258949822417,0.16840156683725466,0,1
CAND_011,2.468,-0.6,0.0,3.5,11.0,2.24,0,0.00041055348899277024,0.060201157320660226,0.0,0.006348558523260239,0,0
CAND_017,2.038,-0.32,0.12,14.3,7.4,2.43,1,0.0006016326000359255,0.03246339615698801,0.12412776725467806,0.016140422421195347,0,0
CAND_010,4.647,-2.88,0.0,10.0,5.4,2.23,0,0.00011579024135366386,0.2876080544654145,0.0,0.02885343763962438,0,0
CAND_007,4.223,-1.92,0.16,14.5,9.4,3.58,1,0.00014019485456441484,0.19233381125738783,0.1577976973501877,0.035125306744409085,0,0
